Title,Description,Local Image Filename
AN SHEN BU XIN WAN (CALM SHEN/SPIRIT),"AN SHEN BU XIN WAN (CALM SHEN/SPIRIT)An Shen Bu Xin Wan calms the spirit and restores normal sleep rhythm by nourishing Heart Yin and blood.  feeling of your heart pounding and having a hard time falling asleep are common symptoms. It is also used for mood swings, lightheadedness, temporal hearing loss, and occasional ringing in the ears.",AN_SHEN_BU_XIN_WAN_(CALM_SHENSPIRIT).png
BA ZHEN WAN (EIGHT TONIC PILLS),"BA ZHEN WAN (EIGHT TONIC PILLS)It nourishes both Blood and Qi. It is used for deficiency of Qi and Blood, sallow complexion, poor appetite, weak arms and legs, hypermenorrhea.",BA_ZHEN_WAN_(EIGHT_TONIC_PILLS).png
BA ZHENG WAN (Clean Urine),"BA ZHENG WAN (Clean Urine)It can clear Heat, purge Fire and support urine flow. It is used for the Lin Syndrome presenting with urgent urination, difficulty and pain in micturition，scanty dark and turbid urine, heavy feeling in the lower abdomen, thirsty mouth, red tongue with yellow fur, and slippery forceful pulse.",BA_ZHENG_WAN_(Clean_Urine).png
BAN LONG WAN (Tonify Prime Yang),"BAN LONG WAN (Tonify Prime Yang)It warms and nourishes primary/Yuan Yang, prolong life. It is used for deficiency of Yuan Yang, symptoms include back and knee ache, impotence and early ejaculation, increased urination, tinnitus, fatigue and annoyed, intolerance of cold, and weak energy.",BAN_LONG_WAN_(Tonify_Prime_Yang).png
BAO HE WAN (Digestion Aid),"BAO HE WAN (Digestion Aid)It helps to digest food, transmit stagnation, and harmonize stomach. It is used for food stagnation, abdominal distention, esophageal reflux, and no appetite for food.",BAO_HE_WAN_(Digestion_Aid).png
BAN XIA XIE XIN WAN (Harmonize Stomach),"BAN XIA XIE XIN WAN (Harmonize Stomach)Ban Xia Xie Xin Tang Pill is used for “Pi syndrome"" (痞症disharmony between the stomach and the spleen) marked by the focal distention or fullness in the stomach, along with various stomach discomforts. Such an array of signs is a display of coincident chills and heat. It is currently used for gastroesophageal reflux disease, chronic gastritis, gastric ulcer, duodenal ulcer, functional dyspepsia, chronic colitis, etc.",BAN_XIA_XIE_XIN_WAN_(Harmonize_Stomach).png
Bi Yan Wan (Rhinitis Pills),"Bi Yan Wan (Rhinitis Pills)Bi Yan Wan helps the nasal airflow by dispersing Wind and expelling toxins. Moreover, it transforms mucus. It can be used for Rhinitis, Allergic Rhinitis, Chronic Rhinitis and Nasosinusitis.",Bi_Yan_Wan_(Rhinitis_Pills).png
BU ZHONG YI QI WAN (Tonify Center Qi),"BU ZHONG YI QI WAN (Tonify Center Qi)Bu Zhong Yi Qi Wan can nourish the spleen and promote Qi due to the Qi deficiency. The central Qi provides the vital energy of the body including the internal organs and physical activities. When Qi is weak, the organs like stomach, uterus, and rectum fail to support themselves; the body loses the physical strength and shows tiredness, weakness, lack of interest in speech.",BU_ZHONG_YI_QI_WAN_(Tonify_Center_Qi).png
CHAI HU SHU GAN WAN (Liver Harmonize),"CHAI HU SHU GAN WAN (Liver Harmonize)It is used for Liver Qi stagnation, includes distending discomfort along the sides of the body, deep breathing, short temper, chest distention, and frequent belching. It can be used for premenstrual syndrome, dysmenorrhea, irregular menstruation, and gastrointestinal disease, include gastritis, gastric ulcer, hepatitis, cholecystitis, etc.",CHAI_HU_SHU_GAN_WAN_(Liver_Harmonize).png
CHUAN XIN LIAN KANG YAN WAN (Anti-Inflammation),"CHUAN XIN LIAN KANG YAN WAN (Anti-Inflammation)It clears heat, resolves toxin, cools blood, disperses swelling, supports the body's immune function.  It is for San Jiao Heat, acute toxin inflammations on the blood, lymph, or organ level. It can be used for viral tonsillitis, viral hepatitis, herpes simplex and zoster, common cold, influenza, measles, mumps, chicken pox; bacterial infections causing sore throat, sinusitis, bacterial dysentery, skin infections such as boils; acute gastroenteritis, urinary tract infection, pelvic inflammatory disease, ear infections, gum infections, bronchitis, etc.",CHUAN_XIN_LIAN_KANG_YAN_WAN_(Anti-Inflammation).png
